"surveywave","state_id","school_id","treatment","n_school_wt","strata","fpc_school","class_srno","B01","B02","B03","B04","B05","B06","B07","B08","B09","D01","D02","D03","D04","D05","D06","D07","D08","D09"
2,1,65,0,2.02868843078613,130,0.16666667163372,4,1,,,,,,,,,2,,,,,,,,
2,1,65,0,2.02868843078613,130,0.16666667163372,5,1,,,,,,,,,2,,,,,,,,
2,1,65,0,2.02868843078613,130,0.16666667163372,6,2,,,,,,,,,1,,,,,,,,
2,1,69,0,2.02868843078613,130,0.16666667163372,1,2,,,,,,,,,2,,,,,,,,
2,1,69,0,2.02868843078613,130,0.16666667163372,2,2,,,,,,,,,2,,,,,,,,
2,1,69,0,2.02868843078613,130,0.16666667163372,3,2,,,,,,,,,2,,,,,,,,
2,1,69,0,2.02868843078613,130,0.16666667163372,4,2,,,,,,,,,2,,,,,,,,
2,1,69,0,2.02868843078613,130,0.16666667163372,5,2,,,,,,,,,1,,,,,,,,
2,1,69,0,2.02868843078613,130,0.16666667163372,6,2,,,,,,,,,2,,,,,,,,
2,1,75,1,1.01434421539307,141,0.333333343267441,1,2,2,,,,,,,,1,2,,,,,,,
2,1,75,1,1.01434421539307,141,0.333333343267441,2,2,,,,,,,,,2,,,,,,,,
2,1,75,1,1.01434421539307,141,0.333333343267441,3,1,,,,,,,,,1,,,,,,,,
2,1,75,1,1.01434421539307,141,0.333333343267441,4,1,,,,,,,,,2,,,,,,,,
2,1,75,1,1.01434421539307,141,0.333333343267441,5,2,,,,,,,,,1,,,,,,,,
2,1,75,1,1.01434421539307,141,0.333333343267441,6,1,,,,,,,,,1,,,,,,,,
2,1,76,1,1.01434421539307,141,0.333333343267441,1,1,1,,,,,,,,2,2,,,,,,,
2,1,76,1,1.01434421539307,141,0.333333343267441,2,1,1,,,,,,,,2,2,,,,,,,
2,1,76,1,1.01434421539307,141,0.333333343267441,3,1,1,,,,,,,,2,2,,,,,,,
2,1,76,1,1.01434421539307,141,0.333333343267441,4,2,2,,,,,,,,2,1,,,,,,,
2,1,76,1,1.01434421539307,141,0.333333343267441,5,2,2,,,,,,,,2,2,,,,,,,
2,1,76,1,1.01434421539307,141,0.333333343267441,6,2,2,,,,,,,,2,4,,,,,,,
2,1,78,1,1.01434421539307,141,0.333333343267441,1,2,,,,,,,,,1,,,,,,,,
2,1,78,1,1.01434421539307,141,0.333333343267441,2,2,,,,,,,,,1,,,,,,,,
2,1,78,1,1.01434421539307,141,0.333333343267441,3,2,,,,,,,,,2,,,,,,,,
2,1,78,1,1.01434421539307,141,0.333333343267441,4,1,,,,,,,,,2,,,,,,,,
2,1,78,1,1.01434421539307,141,0.333333343267441,5,2,,,,,,,,,2,,,,,,,,
2,1,78,1,1.01434421539307,141,0.333333343267441,6,1,,,,,,,,,2,,,,,,,,
2,1,80,1,1.01434421539307,141,0.333333343267441,1,2,,,,,,,,,1,,,,,,,,
2,1,80,1,1.01434421539307,141,0.333333343267441,2,2,,,,,,,,,1,,,,,,,,
