"surveywave","state_id","school_id","n_pup_id","pupil_id","treatment","n_panel_pup_wt","strata","fpc_school","fpc_pupil","n_panel_pup","outcome_pt","n_att_reason_pt","consent","able_to_hear","able_to_speak","Sex","Grade","Age","language","language_other","able_to_see","able_to_write","E1_EXAMPLE","E1A","E1B","E1C","E1D","E2_EXAMPLE","E2A","E2B","E2C","E2D","E13_START","E13A","E17_START","E17A","E17B","E17C","M15A","M16_START","M16A","M16B","M17_START","M17A","S7_START","S7A","S8A","S10_START","S10A","S10B","S10C","S10D","S17_a","S17_b","S17_c","S17_d","S17_e","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B11_other","B12","B13_a","B13_b","B13_c","B13_d","B13_e","B13_w","B13_y","B14A","B14B","B14C","B14D","B14E","B15","B16","B17","B18","B19","B20","B21A","B21B","B23","B24","B25","B26","B27A","B27B","B30","B31","B31A","B31B","n_E_raw_p","n_E_max_p","n_E_pc_p","n_M_raw_p","n_M_max_p","n_M_pc_p","n_S_raw_p","n_S_max_p","n_S_pc_p","n_E_wpm","n_E_dog","n_M_add_3_digit","n_M_add_3_digit_carry","n_M_three_quarters","n_M_multiply","n_S_magnet"
2,2,569,5697,7,0,0.566911101341248,2100,0.400000005960464,0.228571428571429,1,1,,1,1,1,2,4,11,6,,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,24,7,1,1,2,3,1,1,2,2,,,2,2,1,1,1,2,2,,,3,2,10,9,1,1,,1,1,1,1,1,,1,1,1,1,,,,,9.60000038146973,49,19.5918369293213,10,29,34.4827575683594,24,50,48,3,100,100,100,100,0,0
2,2,569,5698,8,0,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,574,5741,1,0,1.80196750164032,2100,0.400000005960464,0.0898876404494382,1,1,,1,1,1,1,4,11,6,,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,,,,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,14,7,1,1,3,3,1,1,1,,,2,2,2,2,2,2,1,2,,,,,,2,1,1,,2,,2,2,2,-8,,,,,,,,,15,49,30.6122455596924,12,29,41.3793106079102,26,50,52,10,0,100,0,0,100,100
2,2,574,5742,2,0,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,574,5743,3,0,1.80196750164032,2100,0.400000005960464,0.0898876404494382,1,1,,1,1,1,1,4,11,6,,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,,,,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,8,2,1,1,2,3,2,2,2,1,,1,2,2,2,1,2,2,2,,,,1,,7,1,1,,1,1,1,2,1,,1,1,1,1,,,,,6,49,12.2448978424072,9,29,31.0344829559326,28,50,56,0,0,100,0,100,0,100
2,2,574,5744,4,0,1.80196750164032,2100,0.400000005960464,0.0898876404494382,1,1,,1,1,1,1,4,14,6,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,3,1,1,1,1,2,1,1,1,1,2,7,3,1,1,2,4,1,1,1,,,2,2,2,2,2,1,2,2,,,,,10,4,1,1,,2,,2,2,1,,2,,1,1,,,,,28,49,57.1428565979004,14,29,48.2758636474609,33,50,66,25,100,100,100,100,0,0
2,2,574,5745,5,0,1.80196750164032,2100,0.400000005960464,0.0898876404494382,1,1,,1,1,1,2,4,13,6,,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,,,,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,9,6,1,1,3,4,1,1,2,1,,2,2,2,2,2,1,2,2,,,,,2,2,1,1,,2,,1,2,1,,1,2,2,1,,,,,6,49,12.2448978424072,5,29,17.2413787841797,24,50,48,0,0,0,0,0,0,0
2,2,574,5746,6,0,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,574,5747,7,0,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,574,5748,8,0,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
