"surveywave","state_id","school_id","n_pup_id","pupil_id","treatment","n_panel_pup_wt","strata","fpc_school","fpc_pupil","n_panel_pup","outcome_pt","n_att_reason_pt","consent","able_to_hear","able_to_speak","Sex","Grade","Age","language","language_other","able_to_see","able_to_write","E1_EXAMPLE","E1A","E1B","E1C","E1D","E2_EXAMPLE","E2A","E2B","E2C","E2D","E13_START","E13A","E17_START","E17A","E17B","E17C","M15A","M16_START","M16A","M16B","M17_START","M17A","S7_START","S7A","S8A","S10_START","S10A","S10B","S10C","S10D","S17_a","S17_b","S17_c","S17_d","S17_e","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B11_other","B12","B13_a","B13_b","B13_c","B13_d","B13_e","B13_w","B13_y","B14A","B14B","B14C","B14D","B14E","B15","B16","B17","B18","B19","B20","B21A","B21B","B23","B24","B25","B26","B27A","B27B","B30","B31","B31A","B31B","n_E_raw_p","n_E_max_p","n_E_pc_p","n_M_raw_p","n_M_max_p","n_M_pc_p","n_S_raw_p","n_S_max_p","n_S_pc_p","n_E_wpm","n_E_dog","n_M_add_3_digit","n_M_add_3_digit_carry","n_M_three_quarters","n_M_multiply","n_S_magnet"
2,1,1,11,1,1,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,12,2,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,13,3,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,12,6,,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,,,,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,12,4,2,1,1,4,1,1,2,1,,2,2,2,2,2,2,1,2,,,,,,2,1,1,,1,1,1,1,1,,1,1,1,1,,,,,8.19999980926514,49,16.7346935272217,11,29,37.9310340881348,27,50,54,1,0,0,0,100,100,100
2,1,1,14,4,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,1,4,12,6,,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,14,4,1,1,3,3,1,1,1,,,2,2,1,2,1,1,2,2,,8,,2,2,5,1,1,,1,1,1,1,1,,1,1,1,1,,,,,35.5999984741211,49,72.6530609130859,23,29,79.3103485107422,40,50,80,23,0,100,100,100,100,100
2,1,1,15,5,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,11,6,,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,8,6,1,1,2,4,2,1,2,1,,2,2,2,2,2,1,2,2,,,,,10,2,1,1,,1,1,1,1,1,,1,1,1,1,,,,,29.2000007629395,49,59.5918388366699,22,29,75.8620681762695,41,50,82,16,100,100,100,0,100,100
2,1,1,16,6,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,11,6,,1,1,1,1,3,3,1,1,1,2,1,1,1,2,2,,,,2,1,2,2,1,2,1,3,2,1,1,1,2,2,2,2,1,1,2,12,4,1,2,,4,1,1,2,1,,2,2,2,2,2,2,1,2,,,,,,3,1,2,2,,,,,1,,1,1,1,1,,,,,13.1999998092651,49,26.9387760162354,8,29,27.5862064361572,29,50,58,11,0,0,0,0,0,0
2,1,1,17,7,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,1,3,12,6,,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,,,,2,1,1,2,1,2,1,3,3,1,1,1,2,1,2,2,2,2,1,16,7,1,2,,4,1,1,2,1,,2,1,1,2,2,2,2,2,2,2,,,,4,1,1,,1,2,2,1,1,,1,1,1,1,,,,,10.1999998092651,49,20.8163261413574,10,29,34.4827575683594,22,50,44,1,0,100,0,0,0,0
2,1,1,18,8,1,2.20285487174988,111,0.333333343267441,0.0588235294117647,1,1,,1,1,1,2,4,10,6,,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,,,,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,10,5,1,1,3,4,1,1,2,1,,2,1,2,1,1,1,2,2,-8,,-8,-8,11,6,1,1,,1,1,1,1,1,,1,1,1,1,,,,,14.8000001907349,49,30.2040824890137,8,29,27.5862064361572,26,50,52,4,0,0,0,100,0,100
2,1,4,41,1,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,2,4,10,6,,1,1,1,2,3,2,1,1,1,1,1,1,1,2,2,,,,1,1,2,2,1,2,1,3,2,1,2,1,1,2,2,2,2,2,1,25,5,2,1,2,3,1,1,2,1,,1,1,2,1,2,1,2,2,3,,10,,5,6,1,1,,-8,,1,1,1,,1,1,1,1,,,,,13,49,26.5306129455566,11,29,37.9310340881348,27,50,54,0,0,0,0,100,0,0
2,1,4,42,2,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,2,4,11,6,,1,1,1,2,2,2,1,1,2,2,2,2,1,1,2,,,,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,29,15,1,1,2,1,1,1,2,1,,2,1,1,1,1,1,2,2,9,4,15,17,40,6,1,1,,-8,,1,1,1,,-8,,1,1,,,,,11,49,22.4489803314209,8,29,27.5862064361572,33,50,66,0,100,0,0,100,0,100
2,1,4,43,3,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,1,4,11,6,,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2,,,,3,1,2,2,1,3,1,1,1,1,2,1,1,1,1,2,1,2,2,19,12,1,1,2,1,1,1,2,1,,2,1,2,1,1,1,2,2,3,,5,4,3,4,1,1,,1,1,1,1,1,,1,1,1,1,,,,,9,49,18.3673477172852,15,29,51.7241363525391,37,50,74,0,100,0,0,0,0,100
2,1,4,45,5,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,1,4,10,6,,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,,,,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,9,2,1,1,3,4,1,1,1,,,2,1,2,1,1,1,2,2,2,,15,12,10,5,1,1,,1,1,1,1,1,,2,,2,2,,,,,16.7999992370605,49,34.2857131958008,17,29,58.6206893920898,35,50,70,9,100,100,0,0,0,100
2,1,4,46,6,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,1,4,12,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,12,2,2,1,2,3,2,1,2,1,,1,1,2,1,1,1,2,2,3,,1,4,2,3,1,1,,1,1,1,1,1,,1,1,1,1,,,,,21,49,42.8571434020996,17,29,58.6206893920898,35,50,70,0,0,100,100,100,0,0
2,1,4,47,7,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,1,4,11,6,,1,1,1,3,2,3,1,1,1,1,1,1,1,2,2,,,,1,1,2,2,1,3,1,3,2,1,1,1,1,1,1,2,2,2,2,9,3,2,1,2,1,1,1,2,1,,1,1,2,1,2,1,2,2,2,,6,,6,2,1,1,,-8,,2,2,1,,1,1,1,1,,,,,16,49,32.6530609130859,16,29,55.1724128723145,34,50,68,0,0,0,0,100,0,0
2,1,4,48,8,1,0.374854624271393,111,0.333333343267441,0.259259259259259,1,1,,1,1,1,1,4,10,6,,1,1,1,2,3,3,1,1,2,2,2,1,1,3,2,,,,1,1,2,2,1,3,1,1,1,1,2,1,1,2,2,2,1,2,2,14,7,1,1,3,1,1,1,1,,,2,1,2,1,1,1,2,2,1,,6,1,2,3,1,1,,2,,2,2,1,,1,1,1,1,,,,,8,49,16.326530456543,13,29,44.8275871276855,37,50,74,0,0,0,0,100,0,100
2,1,8,81,1,1,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,8,82,2,1,0.801774322986603,111,0.333333343267441,0.242424242424242,1,1,,1,1,1,1,4,12,6,,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,,,,1,1,2,2,1,2,1,1,2,1,1,1,1,3,2,2,1,2,2,11,4,2,1,3,3,1,1,1,,,2,1,2,1,1,1,2,2,5,,-8,-8,8,6,1,1,,2,,2,1,1,,1,1,1,1,,,,,22,49,44.8979606628418,14,29,48.2758636474609,28,50,56,0,0,0,0,100,0,0
2,1,8,83,3,1,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,8,84,4,1,0.801774322986603,111,0.333333343267441,0.242424242424242,1,1,,1,1,1,1,4,12,6,,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,,,,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,8,3,2,2,,3,1,1,2,1,,2,1,2,1,1,1,2,2,7,,-8,3,-8,4,1,1,,-8,,2,2,1,,1,1,1,1,,,,,19,49,38.7755088806152,14,29,48.2758636474609,25,50,50,0,0,100,0,100,0,0
2,1,8,85,5,1,0.801774322986603,111,0.333333343267441,0.242424242424242,1,1,,1,1,1,1,4,-8,6,,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,,,,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,8,4,2,1,3,1,1,1,2,1,,2,2,2,1,1,1,2,2,,,10,5,-8,4,1,1,,2,,2,1,1,,-8,,1,1,,,,,18.3999996185303,49,37.5510177612305,13,29,44.8275871276855,32,50,64,17,0,100,0,100,0,100
2,1,8,86,6,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,8,87,7,1,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,8,88,8,1,0.801774322986603,111,0.333333343267441,0.242424242424242,1,1,,1,1,1,1,4,-8,6,,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,,,,1,1,1,2,1,2,1,1,2,1,1,1,2,3,2,2,2,2,1,8,6,2,1,2,1,1,1,2,1,,2,2,2,1,2,1,2,2,,,8,,7,2,1,1,,2,,2,2,1,,2,,1,1,,,,,18.6000003814697,49,37.9591827392578,9,29,31.0344829559326,21,50,42,18,0,100,0,100,0,0
2,1,11,111,1,1,0.129579693078995,111,0.333333343267441,1,1,1,,1,1,1,2,4,10,5,,1,1,1,3,3,3,3,1,2,3,2,2,1,3,2,,,,2,1,3,3,1,3,1,3,3,1,2,1,2,3,2,2,1,2,2,10,7,2,2,,1,1,1,1,,,2,1,2,1,1,1,2,2,2,,5,4,4,2,1,1,,-8,,2,2,1,,1,1,1,1,,,,,3,49,6.12244892120361,8,29,27.5862064361572,23,50,46,0,0,0,0,0,0,0
2,1,11,112,2,1,0.129579693078995,111,0.333333343267441,1,1,1,,1,1,1,2,4,10,5,,1,1,1,2,2,2,3,1,2,2,2,2,1,2,2,,,,1,1,3,3,1,3,1,2,2,1,2,2,2,1,2,2,1,2,2,11,7,2,1,2,1,1,2,2,1,,1,1,2,1,1,1,2,2,2,,6,3,12,4,1,1,,1,1,1,1,1,,1,1,1,1,,,,,6,49,12.2448978424072,9,29,31.0344829559326,17,50,34,0,0,0,0,100,0,0
2,1,11,113,3,1,0.129579693078995,111,0.333333343267441,1,1,1,,1,1,1,1,4,10,5,,1,1,1,3,3,2,3,1,2,2,2,2,1,2,2,,,,3,1,3,3,1,3,1,2,2,1,2,2,2,3,1,2,1,2,2,6,4,2,2,,1,1,1,2,1,,2,1,2,1,2,1,2,2,1,,6,,5,5,1,2,1,,,,,1,,-8,,-8,-8,,,,,4,49,8.16326522827148,6,29,20.6896553039551,23,50,46,0,0,0,0,0,0,0
2,1,11,114,4,1,0.129579693078995,111,0.333333343267441,1,1,1,,1,1,1,1,4,11,6,,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,,,,2,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,1,2,2,8,3,2,1,2,1,2,1,2,2,,,1,2,1,1,1,2,2,3,,4,7,53,3,1,1,,-8,,1,2,1,,2,,1,1,,,,,3,49,6.12244892120361,6,29,20.6896553039551,28,50,56,0,0,0,0,0,0,0
2,1,11,115,5,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,11,116,6,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,11,117,7,1,0.129579693078995,111,0.333333343267441,1,1,1,,1,1,1,1,4,12,6,,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,,,,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,2,2,10,4,2,1,2,1,1,1,2,2,,,1,2,1,1,1,2,2,3,,4,2,7,3,1,1,,-8,,1,1,1,,1,1,1,1,,,,,2,49,4.08163261413574,7,29,24.1379318237305,27,50,54,0,0,0,0,0,0,0
2,1,11,118,8,1,0.129579693078995,111,0.333333343267441,1,1,1,,1,1,1,1,4,10,5,,1,1,1,2,2,2,2,1,2,2,2,2,1,3,2,,,,2,1,3,3,1,3,1,3,2,1,2,1,2,3,2,2,1,2,2,7,5,2,1,1,1,1,1,2,2,,,1,2,1,1,2,2,2,3,,7,2,,3,1,1,,1,1,2,2,1,,1,1,1,1,,,,,1,49,2.04081630706787,4,29,13.7931032180786,12,50,24,0,0,0,0,0,0,0
2,1,20,201,1,0,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,20,202,2,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,12,6,,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,,,,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,1,2,13,4,2,1,2,3,1,2,2,2,,,1,2,1,2,1,2,2,3,,3,,10,4,1,1,,1,1,1,1,1,,1,1,1,1,,,,,10,49,20.4081630706787,3,29,10.3448276519775,27,50,54,0,0,0,0,0,0,0
2,1,20,203,3,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,4,11,6,,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,,,,1,1,2,3,1,3,1,1,2,1,2,1,2,2,2,2,2,2,1,11,4,2,2,,1,1,2,2,1,,1,1,2,1,1,1,2,2,4,,14,4,6,3,1,1,,1,2,1,1,1,,2,,2,2,,,,,7,49,14.2857141494751,10,29,34.4827575683594,23,50,46,0,0,0,0,100,0,0
2,1,20,204,4,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,4,11,6,,1,1,1,2,1,1,2,1,2,2,2,2,1,3,2,,,,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,7,4,2,1,2,1,1,1,2,2,,,1,2,1,2,1,2,2,3,,10,,9,3,1,1,,2,,2,2,1,,1,1,1,1,,,,,11,49,22.4489803314209,9,29,31.0344829559326,23,50,46,0,0,0,0,100,0,100
2,1,20,205,5,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,13,6,,1,1,1,2,2,2,2,1,2,1,2,2,1,3,2,,,,2,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,2,13,4,2,2,,1,2,1,2,2,,,1,2,1,2,1,2,2,1,,8,,20,4,1,1,,2,,2,2,2,2,,,,,,,,,4,49,8.16326522827148,5,29,17.2413787841797,28,50,56,0,0,0,0,0,0,0
2,1,20,206,6,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,20,207,7,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,3,10,6,,1,1,1,3,3,3,3,1,2,2,2,2,1,3,2,,,,1,1,3,3,1,3,1,1,2,1,1,2,2,2,2,2,2,2,1,8,3,2,2,,1,1,2,2,1,,1,1,2,1,1,1,2,2,6,,10,6,15,2,1,2,2,,,,,1,,2,,2,2,,,,,1,49,2.04081630706787,5,29,17.2413787841797,14,50,28,0,0,0,0,100,0,0
2,1,20,208,8,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,2,11,6,,1,1,1,2,2,2,2,1,2,1,2,1,1,2,2,,,,1,1,2,2,1,2,1,3,1,1,2,1,1,1,2,2,2,2,1,5,2,2,1,2,1,1,1,2,2,,,2,2,1,2,2,2,2,,,4,,,3,1,2,1,,,,,1,,2,,2,2,,,,,10,49,20.4081630706787,9,29,31.0344829559326,26,50,52,0,0,0,0,100,0,100
2,1,21,211,1,0,0.252680391073227,110,0.333333343267441,0.615384615384615,1,1,,1,1,1,1,4,12,6,,1,1,1,2,2,2,2,1,1,1,1,2,1,3,2,,,,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,6,4,2,1,3,1,1,1,2,1,,2,1,2,1,1,1,2,2,3,,25,10,35,3,1,1,,2,,2,2,1,,1,1,1,1,,,,,11.3999996185303,49,23.2653045654297,12,29,41.3793106079102,36,50,72,2,0,100,0,0,0,0
2,1,21,212,2,0,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,21,213,3,0,0.252680391073227,110,0.333333343267441,0.615384615384615,1,1,,1,1,1,1,4,14,6,,1,1,1,2,2,2,2,1,2,2,2,2,1,3,2,,,,3,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,2,11,3,2,2,,1,1,1,2,1,,2,1,2,1,1,1,2,2,3,,15,2,14,3,1,1,,2,,2,2,1,,1,1,2,1,,,,,4.19999980926514,49,8.5714282989502,8,29,27.5862064361572,25,50,50,1,0,100,0,0,0,0
2,1,21,214,4,0,0.252680391073227,110,0.333333343267441,0.615384615384615,1,1,,1,1,1,1,4,11,6,,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,,,,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,9,5,2,1,3,3,1,1,2,1,,2,1,2,1,1,1,2,2,2,,8,7,30,3,1,1,,1,1,1,1,1,,1,1,1,1,,,,,4.19999980926514,49,8.5714282989502,8,29,27.5862064361572,27,50,54,1,0,0,0,0,0,100
2,1,21,215,5,0,0.252680391073227,110,0.333333343267441,0.615384615384615,1,1,,1,1,1,1,4,11,6,,1,1,1,2,2,2,2,1,2,2,2,1,1,3,2,,,,2,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,10,5,2,1,3,3,1,1,2,1,,2,1,2,1,1,1,2,2,2,,20,5,30,4,1,1,,1,1,2,2,1,,1,1,1,1,,,,,3,49,6.12244892120361,4,29,13.7931032180786,25,50,50,0,0,0,0,0,0,0
2,1,21,216,6,0,0.252680391073227,110,0.333333343267441,0.615384615384615,1,1,,1,1,1,1,2,12,6,,1,1,1,2,2,2,2,1,2,2,2,2,1,3,2,,,,2,1,3,3,1,3,1,2,2,1,2,1,2,1,2,2,2,2,1,6,2,2,2,,1,1,1,1,,,1,1,2,1,1,1,2,2,3,,11,10,10,5,1,1,,1,1,1,1,1,,1,1,1,1,,,,,3,49,6.12244892120361,9,29,31.0344829559326,20,50,40,0,0,0,0,0,0,0
2,1,21,217,7,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,21,218,8,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,23,231,1,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,4,11,5,,1,1,1,3,3,3,3,1,1,2,2,2,1,2,2,,,,2,1,3,3,1,2,1,3,3,1,1,2,1,3,1,2,1,2,2,-8,,2,1,-8,-8,1,2,2,2,,,1,2,1,2,1,2,2,3,,9,,-8,6,1,1,,-8,,2,2,1,,1,1,1,1,,,,,5,49,10.2040815353394,5,29,17.2413787841797,21,50,42,0,0,0,0,0,0,0
2,1,23,232,2,0,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,23,233,3,0,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,23,234,4,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,4,11,5,,1,1,1,3,3,3,3,1,2,2,2,2,1,2,2,,,,2,1,2,2,1,2,1,2,3,1,1,2,2,3,2,2,1,2,2,11,3,2,2,,-8,1,2,2,2,,,1,2,1,1,1,2,2,12,,-8,-8,-8,7,1,2,1,,,,,2,2,,,,,1,1,1,1,3,49,6.12244892120361,4,29,13.7931032180786,22,50,44,0,0,0,0,0,0,0
2,1,23,235,5,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,15,5,,1,1,1,1,2,2,1,1,2,1,2,1,1,3,2,,,,1,1,1,3,1,3,1,1,1,1,1,1,1,3,2,2,1,2,2,12,3,2,1,2,2,1,1,2,2,,,1,2,1,2,1,2,2,6,,15,,100,5,1,2,1,,,,,2,1,,,,,2,,2,2,11.6000003814697,49,23.673469543457,15,29,51.7241363525391,28,50,56,8,0,100,0,100,0,100
2,1,23,236,6,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,-8,5,,1,1,1,2,2,2,1,1,2,2,2,2,1,3,2,,,,1,1,3,3,1,2,1,1,1,1,1,1,1,3,2,2,1,2,2,7,3,2,1,1,2,1,2,2,2,,,1,2,1,2,1,2,2,5,,7,,20,4,1,1,,2,,2,2,1,,2,,2,2,,,,,3.79999995231628,49,7.75510215759277,11,29,37.9310340881348,34,50,68,4,0,0,0,100,0,100
2,1,23,237,7,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,-8,5,,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,,,,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,9,5,2,1,1,2,1,2,2,2,,,1,2,1,2,1,2,2,6,,7,,-8,3,1,1,,2,,2,2,1,,1,-8,1,1,,,,,3,49,6.12244892120361,12,29,41.3793106079102,23,50,46,0,0,100,0,0,0,0
2,1,23,238,8,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,4,-8,5,,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,,,,1,1,3,3,1,3,1,2,2,1,1,2,1,3,1,2,2,2,2,6,4,2,2,,1,1,1,2,2,,,1,2,1,2,1,2,2,8,,10,,4,1,1,1,,2,,2,2,1,,-8,,2,1,,,,,5.80000019073486,49,11.8367347717285,11,29,37.9310340881348,19,50,38,4,0,0,0,100,0,0
2,1,24,241,1,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,12,6,,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,,,,2,1,2,2,1,2,1,3,2,1,1,1,1,1,2,2,1,2,2,7,3,2,2,,1,1,1,2,1,,2,1,2,1,1,1,2,2,3,,5,1,7,7,1,1,,1,1,2,2,1,,1,1,2,2,,,,,7,49,14.2857141494751,9,29,31.0344829559326,28,50,56,0,100,0,0,0,0,0
2,1,24,242,2,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,3,13,6,,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,,,,1,1,3,3,1,3,1,1,3,1,2,1,2,2,1,1,1,1,2,11,5,2,1,3,1,1,1,2,1,,1,1,2,1,1,1,2,2,3,,8,2,4,5,1,1,,2,,2,1,1,,1,1,1,1,,,,,9,49,18.3673477172852,11,29,37.9310340881348,29,50,58,0,100,0,0,100,0,0
2,1,24,243,3,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,2,4,12,6,,1,1,1,3,3,3,3,1,2,2,1,2,1,2,2,,,,3,1,2,2,1,3,1,1,3,1,1,1,1,1,2,2,1,2,2,6,3,2,1,1,1,1,1,2,1,,1,1,2,1,1,1,2,2,4,,1,1,2,5,1,1,,-8,,1,1,1,,1,1,1,1,,,,,7,49,14.2857141494751,9,29,31.0344829559326,32,50,64,0,0,0,0,0,0,0
2,1,24,244,4,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,24,245,5,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,24,246,6,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,13,6,,1,1,1,3,3,3,3,1,1,2,2,1,1,2,2,,,,1,1,2,1,1,2,1,3,2,1,2,2,2,2,2,2,1,2,2,21,7,2,1,2,3,1,1,2,1,,2,2,2,2,2,1,2,2,,,,,2,7,1,1,,1,1,1,2,1,,1,1,2,2,,,,,5,49,10.2040815353394,12,29,41.3793106079102,23,50,46,0,0,0,100,100,0,0
2,1,24,247,7,0,0.161974608898163,110,0.333333343267441,0.8,1,1,,1,1,1,1,4,12,6,,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,2,1,2,2,1,1,1,1,2,12,5,2,1,3,2,1,1,1,,,2,1,2,1,1,1,2,2,2,,10,9,20,9,1,1,,1,1,1,1,1,,1,1,1,1,,,,,12,49,24.4897956848145,16,29,55.1724128723145,38,50,76,0,100,100,100,100,100,0
