surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Jigawa,1,1,Treatment,111,4,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,open question / response,Hausa,demonstrates / displays work,respond to closed question,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,instructs / presents / dictates,Hausa,moves around among students,group or pair work,chants,English,demonstrates / displays work,respond to closed question,assists / group discussion,Hausa,moves around among students,group or pair work,Yes,55,,BCE,,,e,2,No,31,3,36,30.55555534362793
Round 1 Baseline,Jigawa,1,2,Treatment,111,4,.3333333333333333,Explains,English,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,English,moves around among students,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,English,demonstrates / displays work,group discussion / presentation,,,,,,,,,,,,,,,,,,,,,,,,,,62,AB,ABC,,,e,3,No,3,5,18,44.4444465637207
Round 1 Baseline,Jigawa,1,3,Treatment,111,4,.3333333333333333,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,demonstrates / displays work,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,D,BCE,,,c,1,No,2,6,9,33.33333206176758
Round 1 Baseline,Jigawa,1,4,Treatment,111,4,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,English,moves around among students,respond to closed question,assists / group discussion,Hausa,demonstrates / displays work,individual work,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,,,,,,,,,,68,AB,BCE,,,c,2,No,10,13,30,35
Round 1 Baseline,Jigawa,4,2,Treatment,111,4.5,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,group or pair work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,group or pair work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,D,BC,,,c,1,Yes,3,,9,38.88888931274414
Round 1 Baseline,Jigawa,4,3,Treatment,111,4.5,.3333333333333333,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,group or pair work,None of the above,Hausa,writes on / reads from blackboard,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,assists / group discussion,Hausa,moves around among students,group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,instructs / presents / dictates,Hausa,moves around among students,individual work,,,,,,,,,,,,,,27,D,BC,,,c,2,No,6,1,27,37.03703689575195
Round 1 Baseline,Jigawa,4,4,Treatment,111,4.5,.3333333333333333,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,moves around among students,None of the above,closed question / response,Hausa,uses textbook,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,moves around among students,respond to closed question,,,,,,,,,,27,A,ABC,,,c,4,No,6,1,30,31.66666793823242
Round 1 Baseline,Jigawa,8,1,Treatment,111,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,20,A,ABCE,,,e,2,No,7,,24,35.41666412353516
Round 1 Baseline,Jigawa,8,2,Treatment,111,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,group or pair work,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,group or pair work,closed question / response,Hausa,moves around among students,None of the above,,,,,,21,A,ABC,,,e,1,No,10,,33,16.66666793823242
Round 1 Baseline,Jigawa,8,3,Treatment,111,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,assists / group discussion,Hausa,uses materials (printed/improvised),None of the above,instructs / presents / dictates,Hausa,moves around among students,group or pair work,closed question / response,Hausa,demonstrates / displays work,respond to open question,,,,,,,,,,,,,,,,,,,,,,32,AC,ABC,,,c,3,Yes,4,,21,21.42857170104981
Round 1 Baseline,Jigawa,8,4,Treatment,111,3,.3333333333333333,closed question / response,Hausa,None of the above,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,33,A,BC,,,a,2,No,8,,18,16.66666603088379
Round 1 Baseline,Jigawa,11,1,Treatment,111,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,uses materials (printed/improvised),individual work,closed question / response,Hausa,demonstrates / displays work,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,None of the above,Yes,8,,BCE,,,c,2,No,13,,36,9.722222328186035
Round 1 Baseline,Jigawa,11,2,Treatment,111,3,.3333333333333333,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to open question,,,,,,,,,,,,,,6,A,ABC,,,e,1,No,7,,27,29.62963104248047
Round 1 Baseline,Jigawa,11,3,Treatment,111,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,8,D,BC,,,d,4,No,1,,18,38.88888931274414
Round 1 Baseline,Jigawa,11,4,Treatment,111,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,chants,Other,writes on / reads from blackboard,None of the above,None of the above,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,No,9,D,BC,,,f,4,No,1,,36,1.388888955116272
Round 1 Baseline,Jigawa,20,2,Control,110,3,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,C,ABC,,,f,1,No,3,,12,29.16666603088379
Round 1 Baseline,Jigawa,20,3,Control,110,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,uses materials (printed/improvised),group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,D,BCF,,,c,2,No,2,1,12,50
Round 1 Baseline,Jigawa,20,4,Control,110,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,moves around among students,respond to open question,,,,,,,,,,,,,,,,,,,,,,22,D,BC,,,f,4,No,,,21,30.9523811340332
Round 1 Baseline,Jigawa,21,1,Control,110,12,.3333333333333333,closed question / response,Hausa,None of the above,respond to open question,Explains,Hausa,uses materials (printed/improvised),None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,demonstrates / displays work,respond to open question,,,,,,,,,,,,,,13,A,ABC,,,f,1,No,4,,27,46.29629516601563
Round 1 Baseline,Jigawa,21,2,Control,110,12,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,A,BC,,,c,2,Yes,1,,9,22.22222328186035
Round 1 Baseline,Jigawa,23,1,Control,110,6,.3333333333333333,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,English,demonstrates / displays work,None of the above,Explains,English,writes on / reads from blackboard,None of the above,chants,English,demonstrates / displays work,respond to closed question,closed question / response,Hausa,None of the above,group discussion / presentation,closed question / response,English,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,assists / group discussion,Hausa,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,demonstrates / displays work,None of the above,Yes,26,,ABC,,,c,2,No,26,10,36,19.44444465637207
Round 1 Baseline,Jigawa,23,2,Control,110,6,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,demonstrates / displays work,respond to closed question,chants,English,moves around among students,respond to open question,instructs / presents / dictates,Hausa,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,chants,English,moves around among students,None of the above,Explains,English,demonstrates / displays work,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,group discussion / presentation,closed question / response,Hausa,moves around among students,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Yes,16,,BC,,,c,1,No,12,3,36,16.66666603088379
Round 1 Baseline,Jigawa,24,1,Control,110,6,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,,,,,,,,,,,,,,14,D,BC,,,ab,4,No,19,2,27,3.703703880310059
Round 1 Baseline,Jigawa,24,2,Control,110,6,.3333333333333333,open question / response,Hausa,writes on / reads from blackboard,respond to open question,assists / group discussion,Hausa,moves around among students,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,assists / group discussion,Hausa,moves around among students,individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,uses materials (printed/improvised),None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,individual work,open question / response,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,Yes,22,,ABC,,,bc,2,No,47,,36,33.33333206176758
Round 1 Baseline,Jigawa,25,2,Treatment,121,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,chants,English,None of the above,respond to closed question,open question / response,Hausa,None of the above,respond to closed question,open question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,Yes,58,,BCD,,,b,1,No,9,14,36,5.555555820465088
Round 1 Baseline,Jigawa,25,3,Treatment,121,3,.3333333333333333,None of the above,Hausa,writes on / reads from blackboard,respond to closed question,assists / group discussion,Hausa,demonstrates / displays work,respond to closed question,closed question / response,Hausa,demonstrates / displays work,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,respond to closed question,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Hausa,moves around among students,individual work,instructs / presents / dictates,Hausa,None of the above,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,Yes,57,,AB,,,b,3,No,2,13,36,29.16666603088379
Round 1 Baseline,Jigawa,25,4,Treatment,121,3,.3333333333333333,Explains,Hausa,uses materials (printed/improvised),None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,D,BCF,,,c,2,No,1,2,15,20
Round 1 Baseline,Jigawa,26,2,Treatment,121,3,.3333333333333333,open question / response,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,English,uses textbook,respond to closed question,Explains,English,writes on / reads from blackboard,respond to closed question,closed question / response,English,None of the above,respond to closed question,None of the above,English,demonstrates / displays work,group or pair work,Explains,English,writes on / reads from blackboard,individual work,None of the above,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,instructs / presents / dictates,English,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,None of the above,individual work,Yes,93,,ABC,,,f,2,No,,,36,19.44444465637207
Round 1 Baseline,Jigawa,26,3,Treatment,121,3,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,group or pair work,chants,Hausa,None of the above,individual work,chants,Hausa,None of the above,group discussion / presentation,chants,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,English,demonstrates / displays work,None of the above,chants,English,demonstrates / displays work,respond to open question,closed question / response,Hausa,None of the above,group or pair work,assists / group discussion,Teacher was silent,moves around among students,group or pair work,None of the above,Teacher was silent,moves around among students,group or pair work,assists / group discussion,Teacher was silent,None of the above,group discussion / presentation,Explains,Hausa,None of the above,None of the above,No,118,C,C,,,f,1,No,,,36,30.55555534362793
Round 1 Baseline,Jigawa,26,4,Treatment,121,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,uses materials (printed/improvised),individual work,None of the above,Hausa,uses textbook,None of the above,None of the above,Hausa,uses textbook,None of the above,chants,English,uses textbook,None of the above,Explains,English,None of the above,None of the above,None of the above,Hausa,None of the above,group or pair work,None of the above,Hausa,None of the above,individual work,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,No,123,C,ACE,,,b,1,No,,,36,11.11111164093018
Round 1 Baseline,Jigawa,33,1,Treatment,121,4,.3333333333333333,closed question / response,Hausa,None of the above,respond to open question,Explains,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,chants,English,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to open question,Explains,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,40,A,BCE,,,e,3,No,3,,27,29.62963104248047
Round 1 Baseline,Jigawa,33,3,Treatment,121,4,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,assists / group discussion,Hausa,uses materials (printed/improvised),group or pair work,assists / group discussion,Hausa,moves around among students,group or pair work,Explains,Hausa,None of the above,group or pair work,closed question / response,Hausa,None of the above,group or pair work,,,,,,,,,,,,,,43,A,BCEF,,,b,2,Yes,7,,27,40.74074172973633
Round 1 Baseline,Jigawa,33,4,Treatment,121,4,.3333333333333333,Explains,English,None of the above,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,English,writes on / reads from blackboard,respond to open question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,31,C,ABC,,,c,2,No,1,,24,20.83333206176758
Round 1 Baseline,Jigawa,36,2,Treatment,121,4,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,uses materials (printed/improvised),None of the above,Explains,Hausa,uses materials (printed/improvised),None of the above,Explains,Hausa,uses materials (printed/improvised),None of the above,Explains,Hausa,uses materials (printed/improvised),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,D,ABC,,,e,4,No,2,,15,40
Round 1 Baseline,Jigawa,36,3,Treatment,121,4,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,,,,,,20,D,BC,,,f,4,No,4,,33,31.81818199157715
Round 1 Baseline,Jigawa,36,4,Treatment,121,4,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Hausa,moves around among students,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Hausa,None of the above,individual work,assists / group discussion,Teacher was silent,None of the above,individual work,assists / group discussion,Hausa,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,moves around among students,individual work,Yes,25,,BC,,,d,4,No,,1,36,12.5
Round 1 Baseline,Jigawa,39,1,Control,120,4,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,chants,Hausa,moves around among students,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,D,BC,,,b,1,No,6,1,15,20
Round 1 Baseline,Jigawa,39,2,Control,120,4,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,18,D,BC,,,d,4,No,1,,18,19.44444465637207
Round 1 Baseline,Jigawa,39,3,Control,120,4,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,,,,,,,,,,,,,,,,,,,,,,21,D,BC,,,a,2,No,22,,21,9.523809432983398
Round 1 Baseline,Jigawa,40,1,Control,120,4,.3333333333333333,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,None of the above,respond to closed question,closed question / response,Hausa,demonstrates / displays work,respond to closed question,closed question / response,Hausa,demonstrates / displays work,respond to closed question,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,None of the above,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,,,,,,,,,31,AC,BC,,,f,3,No,10,3,24,12.5
Round 1 Baseline,Jigawa,40,2,Control,120,4,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Hausa,None of the above,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,instructs / presents / dictates,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,Yes,29,,BC,,,f,2,No,5,25,36,15.27777767181397
Round 1 Baseline,Jigawa,40,3,Control,120,4,.3333333333333333,closed question / response,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,,,,,,,,,60,C,BCDE,,,e,1,No,9,3,24,27.08333396911621
Round 1 Baseline,Jigawa,42,1,Control,120,4,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,uses materials (printed/improvised),respond to closed question,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,,,,,,,,,,,,,,13,A,ABC,,,c,4,No,,2,27,25.92592430114746
Round 1 Baseline,Jigawa,42,2,Control,120,4,.3333333333333333,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to open question,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,demonstrates / displays work,None of the above,Explains,Hausa,None of the above,None of the above,,,,,,,,,,,,,,,,,,2,AC,ABC,,,f,1,No,,,24,37.5
Round 1 Baseline,Jigawa,42,3,Control,120,4,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,moves around among students,respond to open question,None of the above,Teacher was silent,None of the above,individual work,chants,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,15,A,ABC,,,e,4,No,4,,18,13.88888835906982
Round 1 Baseline,Jigawa,43,2,Control,120,4,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,None of the above,Teacher was silent,None of the above,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Yes,57,,BC,,,e,4,No,5,1,36,0
