surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Katsina,413,1,Treatment,241,3.666666666666667,.3636363636363637,closed question / response,Hausa,None of the above,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,None of the above,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,44,D,ABC,,,f,3,No,,1,30,33.33333206176758
Round 1 Baseline,Katsina,413,2,Treatment,241,3.666666666666667,.3636363636363637,closed question / response,English,None of the above,individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,41,A,BCE,,,d,3,No,23,2,21,11.90476131439209
Round 1 Baseline,Katsina,413,3,Treatment,241,3.666666666666667,.3636363636363637,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,B,BC,,,d,2,No,10,,6,16.66666793823242
Round 1 Baseline,Katsina,413,4,Treatment,241,3.666666666666667,.3636363636363637,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,32,A,ABC,,,e,1,No,6,,18,33.33333206176758
Round 1 Baseline,Katsina,414,1,Treatment,241,2.75,.3636363636363637,instructs / presents / dictates,English,uses textbook,individual work,instructs / presents / dictates,English,uses textbook,individual work,closed question / response,English,moves around among students,respond to closed question,closed question / response,English,demonstrates / displays work,respond to closed question,instructs / presents / dictates,English,moves around among students,group or pair work,closed question / response,Hausa,uses textbook,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,44,AB,ABC,,,c,1,No,5,,18,22.22222328186035
Round 1 Baseline,Katsina,414,2,Treatment,241,2.75,.3636363636363637,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,uses materials (printed/improvised),individual work,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,demonstrates / displays work,None of the above,chants,Hausa,moves around among students,None of the above,Explains,Hausa,demonstrates / displays work,individual work,chants,Hausa,writes on / reads from blackboard,None of the above,None of the above,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,demonstrates / displays work,None of the above,,,,,,,,,,27,AB,BCF,,,a,2,No,6,1,30,33.33333206176758
Round 1 Baseline,Katsina,414,3,Treatment,241,2.75,.3636363636363637,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,None of the above,Yes,21,,ABC,,,e,2,No,,,36,19.44444465637207
Round 1 Baseline,Katsina,414,4,Treatment,241,2.75,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,,,,,,,,,,,,,,29,D,ABC,,,c,2,No,2,,27,25.92592430114746
Round 1 Baseline,Katsina,416,2,Treatment,241,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,respond to closed question,None of the above,Hausa,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,,,,,,,,,,53,A,BC,,,b,1,No,,1,30,6.666666984558106
Round 1 Baseline,Katsina,416,3,Treatment,241,3.666666666666667,.3636363636363637,Explains,Hausa,uses textbook,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,None of the above,Hausa,moves around among students,None of the above,instructs / presents / dictates,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,chants,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Yes,63,,ABC,,,a,3,No,1,9,36,6.944444179534912
