"surveywave","state_id","school_id","n_teacher_id","teacher_srno","treatment","n_school_wt","strata","fpc_school","A05","A07","A09","A10","n_eligible_teacher","B01","B02","B03","B04","B06","B08","B10","B12","B14","B16"
2,1,8,803,3,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1967,2,1,2003,1,1,2,2,1,1
2,1,11,1101,1,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1968,1,1,1997,1,1,1,2,2,2
2,1,11,1102,2,1,1.01434421539307,111,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,11,1103,3,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1973,2,1,2001,1,1,1,2,2,2
2,1,11,1104,4,1,1.01434421539307,111,0.333333343267441,2,2,2,2,1,1983,2,1,2015,1,1,1,2,2,2
2,1,20,2001,1,0,1.01434421539307,110,0.333333343267441,2,2,2,2,1,-8,1,1,2017,2,2,2,2,2,2
2,1,20,2002,2,0,1.01434421539307,110,0.333333343267441,2,2,2,2,1,1988,1,1,2017,2,2,2,2,2,2
2,1,20,2003,3,0,1.01434421539307,110,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,21,2101,1,0,1.01434421539307,110,0.333333343267441,2,2,2,2,1,1965,1,1,-8,2,2,2,2,2,2
2,1,21,2102,2,0,1.01434421539307,110,0.333333343267441,2,2,2,2,1,-8,1,1,2014,2,2,2,2,1,2
2,1,23,2301,1,0,1.01434421539307,110,0.333333343267441,2,2,2,2,1,1968,1,1,2017,2,2,2,2,2,2
2,1,23,2302,2,0,1.01434421539307,110,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,24,2401,1,0,1.01434421539307,110,0.333333343267441,2,2,2,2,1,1959,2,1,2014,1,2,1,2,2,2
2,1,25,2501,1,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1965,2,1,2016,2,1,2,2,2,1
2,1,25,2502,2,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1983,1,1,2015,2,2,2,2,2,2
2,1,25,2503,3,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1984,1,1,2009,1,1,1,2,2,1
2,1,25,2504,4,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1959,1,1,1990,2,1,2,2,2,1
2,1,25,2505,5,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1983,1,1,2015,1,1,2,2,2,1
2,1,25,2506,6,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1970,2,1,2014,2,1,2,2,2,1
